2 6 4140 24 2340 2340 21 11 332
-1 1 472 27 1399 1399 45 5 225
1 2 15605 53 19127 19127 52 9 3558
2 2 2291 63 14480 14480 24 8 1928
1 2 13014 68 57715 57715 201 11 7688
-1 2 1748 48 6763 6763 23 7 610
-1 3 2262 -1 15872 15872 42 8 2375
1 2 5757 -1 48766 48746 20 10 3818
-1 2 1716 -1 4533 4523 13 7 597
1 2 3123 66 9472 9012 71 8 3752
1 6 13817 -1 8206 6916 42 11 5429
1 5 811 50 2020 2020 17 6 650
-1 4 80 34 573 573 5 4 94
2 3 698 51 8641 8521 44 8 3479
1 1 183 31 803 803 8 4 369
-1 2 1435 42 6122 6122 27 7 2198
-1 1 11191 -1 4382 4202 39 11 2804
2 1 384 29 2574 2574 31 6 273
1 2 252 -1 1575 1575 17 5 259
-1 1 515 -1 3083 3083 11 6 1421
1 2 63 31 324 324 5 3 31
2 2 523 -1 2479 2479 5 6 115
1 2 2808 -1 7324 7324 12 7 108
-1 7 73 -1 314 314 7 3 83
-1 6 755 26 1493 1493 29 11 268
-1 7 1000 -1 1033 1033 68 5 165
-1 2 412 37 566 566 12 4 135
2 1 612 21 1177 1147 12 5 574
1 3 601 35 1193 1193 9 5 2040
1 1 3381 1 14223 14043 14 11 4896
1 2 910 -1 1169 1169 4 5 53
2 1 1407 -1 4432 4432  7 625
-1 2 612 29 3744 3744 24 6 1275
-1 -1 14180 -1 45738 45738 105 0 
-1 2 656 -1 4816 4816 8 7 719
-1 -1 386 -1 2684 2684 5 6 815
-1 2 1593 -1 16962 16962 16 9 924
2 2 1006 56 3794 3794 70 6 717
2 3 1014 38 2399 2399 25 6 403
-1 2 292 -1 6362 6362 36 7 1258
1 2 1265 -1 7699 7699 6 7 3098
-1 4 75 -1 1730 1730 7 5 893
2 3 4423 -1 20879 20639 11 11 2779
2 2 1899 -1 6123 5593 8 7 1991
1 2 344 51 1780 1780 5 5 452
1 4 9213 -1 36055 36055 76 10 4951
1 2 449 75 2475 2475 10 6 310
-1 2 4756 -1 31798 31398 132 9 8927
2 1 1086 13 14949 9319 6 11 1255
2 1 672 23 1493 1493 13 5 219
-1 2 199 53 1527 1527 31 5 139
1 2 1246 -1 11123 11123 5 8 422
-1 2 454 47 4416 4416 5 7 197
1 -1 677 46 5733 5733 5 7 605
1 3 84 38 2396 2396 10 6 202
1 2 679 32 1095 1095 5 5 103
2 2 1572 -1 8773 8773 114 8 1077
-1 -1 1002 -1 5244 5244 12 7 1412
1 1 558 56 2252 2252 9 6 907
-1 1 296 -1 780 780 10 4 263
2 -1 181 41 557 557 6 4 168
1 -1 532 -1 916 916 8 4 104
-1 2 3588 -1 7109 7109 14 7 2452
-1 -1 192 28 286 286 5 3 182
1 2 5296 -1 26841 26841 21 9 837
1 2 301 36 525 525 9 4 157
-1 2 3445 -1 9022 9022 8 8 2040
-1 -1 572 -1 1093 1083 5 5 275
-1 5 13057 -1 24130 19580 111 11 1576
2 2 6381 -1 18282 18282 76 9 4001
1 1 417 28 786 786 16 4 248
1 2 1832 37 3842 3842 8 6 755
-1 -1 376 -1 898 898 11 4 275
-1 2 942 -1 3297 3297 9 6 569
-1 2 2384 -1 17289 17289 24 9 1081
1 2 3301 -1 36970 36970 26 10 8507
1 2 3283 61 9351 9351 17 8 1322
1 2 8693 78 30603 30603 43 9 5207
-1 2 834 34 2385 2385 9 6 181
1 2 7049 57 41206 41206 74 10 2510
2 -1 241 -1 525 525 8 4 93
-1 2 666 -1 2048 2048 7 6 395
1 2 1833 72 4202 4202 17 7 767
1 2 1424 61 2296 2296 9 6 502
1 3 921 -1 7940 7940 6 7 950
1 2 3053 34 8446 8446 21 8 372
-1 2 4140 -1 7760 7760 6 7 552
-1 2 1573 -1 4880 4880 7 7 758
1 2 5259 -1 20059 20059 39 9 2018
1 2 527 60 5265 5205 6 7 3110
1 2 1578 60 5094 5094 36 7 1783
1 2 1131 -1 2762 2762 9 6 328
-1 2 971 100 1611 1611 5 5 480
2 -1 3364 25 3723 3713 45 11 992
-1 -1 1546 -1 2761 2761 15 6 109
2 2 4430 -1 11078 11078 40 8 297
1 2 1991 64 4143 4143 5 7 822
-1 7 2808 -1 5569 5569 9 7 946
-1 2 159 33 226 226 11 3 80
-1 2 333 -1 1337 1337 8 5 485
-1 6 847 3 789 789 20 11 482
-1 -1 1680 -1 11010 11010 16 8 1672
1 1 901 27 8462 8452 48 8 802
-1 -1 561 -1 1221 1221 8 5 299
2 1 393 -1 2669 2669 8 6 694
1 2 591 -1 3749 3749 8 6 984
-1 6 3242 4 1725 1705 34 11 313
-1 2 5346 42 2064 2064 9 6 466
1 2 1052 -1 5764 5764 14 7 1891
1 2 3406 73 10825 10825 16 8 1509
2 2 583 -1 3974 3974 16 6 631
1 2 213 -1 755 755 5 4 3
1 2 4770 48 27272 27212 9 9 11929
1 2 1114 37 10269 10149 8 8 1537
-1 -1 272 -1 4980 4980 6 11 1082
1 2 4319 -1 18409 18349 41 9 5664
1 2 967 -1 8858 8798 12 8 4824
1 2 79 70 2996 2996 12 6 267
1 2 75 45 4386 4386 6 7 2547
2 2 2560 -1 11729 11609 46 8 2644
-1 -1 22 -1 226 226 6 3 17
-1 -1 101 -1 2457 2457 22 6 470
1 1 2781 24 7593 7593 33 7 1012
1 -1 151 27 2578 2578 7 6 459
2 4 127 16 2991 2991 10 6 362
1 -1 21 62 305 305 13 3 10
1 2 65 43 2111 2111 12 6 601
1 2 56 5 667 667 46 4 24
1 2 241 37 2535 2535 9 6 147
-1 -1 88 -1 1039 1039 8 5 64
2 4 100 51 1970 1970 15 5 79
2 3 152 38 1349 1349 5 5 157
-1 2 1114 -1 7088 7088 32 7 2648
1 -1 31 -1 268 268 12 3 139
2 7 37 -1 253 253 23 3 76
1 2 788 51 8604 8604 34 8 773
-1 2 299 -1 1255 1245 9 5 98
1 2 385 -1 2859 2859 6 6 1494
1 2 343 -1 2673 2673 8 6 628
-1 2 391 -1 2022 2022 27 6 1012
1 2 1013 -1 14598 14598 32 8 902
